Price,Daily Change (%)
Ticker,
Date,
2021-01-11,-1.2539844430301206
2021-01-27,-2.6086775791876904
2021-01-29,-1.9979495142946724
2021-02-22,-2.460709513820458
2021-02-25,-3.5192021212380853
2021-03-02,-1.6928612525136666
2021-03-03,-2.7026402691170515
2021-03-04,-2.110213486468815
2021-03-08,-2.407017139681733
2021-03-18,-3.0242086440928184
2021-03-24,-2.009499330572939
2021-05-04,-1.8828201194453165
2021-05-10,-2.547802225972562
2021-05-12,-2.671883779590589
2021-07-27,-1.21375515919806
2021-09-20,-2.194030843831807
2021-09-28,-2.8275944894625926
2021-10-04,-2.136514944288126
2021-11-10,-1.660714526110052
2021-11-22,-1.2622227368676908
2021-11-26,-2.23139898909841
2021-11-30,-1.553204635822969
2021-12-01,-1.8255005548189707
2021-12-03,-1.9234407705369105
2021-12-09,-1.7078626969719846
2021-12-13,-1.390345484936839
2021-12-16,-2.474372228287647
2021-12-20,-1.2441874957189958
