Price,Daily Change (%)
Ticker,
Date,
2018-02-02,-1.9619877800439611
2018-02-05,-3.776029426818206
2018-02-08,-3.897059052633367
2018-02-27,-1.2276541780296912
2018-03-01,-1.271134097305937
2018-03-19,-1.8410876743346405
2018-03-22,-2.4316243787705694
2018-03-23,-2.4280454776577365
2018-03-27,-2.93232887461754
2018-04-02,-2.7370487903107033
2018-04-06,-2.281336892440333
2018-04-20,-1.270094127943877
2018-04-24,-1.7008949630919035
2018-06-25,-2.090391589407614
2018-06-27,-1.5413317828794626
2018-07-27,-1.461508158717617
2018-07-30,-1.38831707416196
2018-08-15,-1.2294672883287339
2018-09-17,-1.4263349426824057
2018-10-04,-1.8140616611087346
2018-10-10,-4.083347084218203
2018-10-11,-1.2528849649462215
2018-10-18,-2.061575811784244
2018-10-24,-4.425389779282963
2018-10-26,-2.065084240950732
2018-10-29,-1.6313171026415163
2018-11-09,-1.646288115040928
2018-11-12,-2.78159267537903
2018-11-19,-3.0269601023684367
2018-11-20,-1.7025040489909715
2018-12-04,-3.804061255840796
2018-12-07,-3.046770327810455
2018-12-14,-2.2583093025459355
2018-12-17,-2.27084203582667
2018-12-19,-2.168072317253422
2018-12-20,-1.6336100306734158
2018-12-21,-2.9933769049102055
2018-12-24,-2.211756331783188
