Price,Daily Change (%)
Ticker,
Date,
2016-01-07,-3.025989646630789
2016-01-13,-3.411493707670632
2016-01-15,-2.7427969257854845
2016-01-25,-1.5832517702026538
2016-01-27,-2.178353552288992
2016-02-02,-2.238347129167939
2016-02-05,-3.246878187063318
2016-02-08,-1.819564218225056
2016-02-23,-1.4665391963279317
2016-03-08,-1.2622561627196993
2016-04-07,-1.470315207883599
2016-05-17,-1.2507691606113647
2016-06-10,-1.2920996363064874
2016-06-24,-4.115242584301415
2016-06-27,-2.4116508467224906
2016-09-09,-2.5396013429990427
2016-10-11,-1.5365913823329636
2016-12-01,-1.3631606351963144
