Price,Daily Change (%)
Ticker,
Date,
2024-01-31,-2.2301279588428202
2024-02-13,-1.799901514048463
2024-03-05,-1.6530603760192664
2024-04-12,-1.62453557122334
2024-04-15,-1.793315000423834
2024-04-19,-2.0478174173957586
2024-04-30,-2.0350255647543336
2024-07-11,-1.9522190849242782
2024-07-17,-2.768439750961882
2024-07-24,-3.6390883510082794
2024-08-01,-2.3026352660052707
2024-08-02,-2.4310025495816623
2024-08-05,-3.4339209494872347
2024-08-22,-1.6721959277882892
2024-09-03,-3.259177894657106
2024-09-06,-2.550436394346589
2024-10-01,-1.5328382112681838
2024-10-23,-1.6314472583482398
2024-10-31,-2.7557031087636963
2024-11-15,-2.2374872957156677
2024-12-18,-3.5624294435839587
