Price,Daily Change (%)
Ticker,
Date,
2022-01-28,3.128861783890824
2022-01-31,3.408061973195786
2022-02-09,2.0847579004696026
2022-02-15,2.5294892996708285
2022-02-24,3.344965952305512
2022-03-09,3.594999879032046
2022-03-15,2.920228710808659
2022-03-16,3.768198333754036
2022-03-18,2.049681043012841
2022-04-13,2.0343125369180592
2022-04-19,2.1549057864598486
2022-04-28,3.063517815465322
2022-05-04,3.19252033961146
2022-05-13,3.8170923172146543
2022-05-17,2.7585979950759842
2022-05-26,2.6752698354298943
2022-05-27,3.325876158439245
2022-06-02,2.6882446624324485
2022-06-15,2.50085000040583
2022-06-21,2.50918154268005
2022-06-24,3.3424441105246228
2022-07-07,2.28395911688426
2022-07-19,3.1082661784792576
2022-07-27,4.0635394784761525
2022-08-03,2.586497726792847
2022-08-10,2.8883635990728074
2022-08-12,2.09140964349257
2022-09-07,2.139386370549512
2022-09-09,2.109062115923166
2022-09-28,2.05124565711714
2022-10-03,2.2675698224330354
2022-10-04,3.337643340857799
2022-10-13,2.2275949155863284
2022-10-17,3.4337445665918898
2022-10-21,2.306957866695325
2022-10-25,2.2506941972041616
2022-10-28,2.8702839582782413
2022-11-10,7.350217126661285
2022-11-30,4.408497935210032
2022-12-29,2.5926983731464404
