strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.5,19.2,20.7,930.0,48.44,1118.02,58.23
2.0,19.48,21.48,852.0,43.74,1134.25,58.23
4.0,17.67,21.67,833.0,47.14,1028.93,58.23
4.5,17.15,21.65,835.0,48.69,998.57,58.23
5.0,16.18,21.18,882.0,54.51,942.15,58.23
5.5,15.3,20.8,920.0,60.13,890.93,58.23
6.0,15.68,21.68,832.0,53.06,913.01,58.23
6.5,14.98,21.48,852.0,56.88,872.27,58.23
7.0,14.4,21.4,860.0,59.72,838.49,58.23
7.5,13.9,21.4,860.0,61.87,809.34,58.23
8.0,13.18,21.18,882.0,66.92,767.39,58.22
8.5,11.82,20.32,968.0,81.9,688.23,58.23
9.0,12.18,21.18,882.0,72.41,709.21,58.23
9.5,11.92,21.42,858.0,71.98,694.08,58.23
10.0,11.18,21.18,882.0,78.89,651.03,58.23
10.5,11.12,21.62,838.0,75.36,647.5,58.23
11.0,10.62,21.62,838.0,78.91,618.35,58.23
11.5,9.98,21.48,852.0,85.37,581.15,58.23
12.0,9.8,21.8,820.0,83.67,570.66,58.23
12.5,9.12,21.62,838.0,91.89,531.02,58.23
13.0,8.78,21.78,822.0,93.62,511.26,58.23
13.5,7.95,21.45,855.0,107.55,462.91,58.23
14.0,8.1,22.1,790.0,97.53,471.63,58.23
14.5,7.9,22.4,760.0,96.2,460.04,58.23
15.0,7.38,22.38,762.0,103.25,429.68,58.22
16.0,6.18,22.18,782.0,126.54,359.79,58.22
17.0,6.1,23.1,690.0,113.11,355.16,58.22
18.0,5.42,23.42,658.0,121.4,315.63,58.23
19.0,5.05,24.05,595.0,117.82,294.11,58.24
20.0,4.25,24.25,575.0,135.29,247.52,58.24
21.0,4.4,25.4,460.0,104.55,256.24,58.24
22.0,4.2,26.2,380.0,90.48,244.54,58.22
22.5,3.78,26.28,372.0,98.41,220.14,58.24
23.0,3.78,26.78,322.0,85.19,220.14,58.24
24.0,3.35,27.35,265.0,79.1,195.08,58.23
25.0,3.3,28.3,170.0,51.52,192.21,58.25
26.0,2.76,28.76,124.0,44.93,160.74,58.24
27.0,2.84,29.84,16.0,5.63,165.38,58.23
