strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.5,13.7,15.2,980.0,71.53,911.79,66.55
2.0,12.82,14.82,1018.0,79.41,853.25,66.56
4.0,11.27,15.27,973.0,86.34,750.05,66.55
4.5,10.8,15.3,970.0,89.81,718.78,66.55
5.0,10.35,15.35,965.0,93.24,688.81,66.55
5.5,9.8,15.3,970.0,98.98,652.25,66.56
6.0,9.07,15.07,993.0,109.48,603.7,66.56
6.5,8.05,14.55,1045.0,129.81,535.76,66.55
7.0,8.4,15.4,960.0,114.29,559.04,66.55
7.5,7.62,15.12,988.0,129.66,507.19,66.56
8.0,8.05,16.05,895.0,111.18,535.76,66.55
8.5,6.65,15.15,985.0,148.12,442.56,66.55
9.0,6.12,15.12,988.0,161.44,407.29,66.55
9.5,5.68,15.18,982.0,172.89,378.02,66.55
10.0,5.7,15.7,930.0,163.16,379.32,66.55
10.5,4.92,15.42,958.0,194.72,327.47,66.56
11.0,4.65,15.65,935.0,201.08,309.49,66.56
11.5,4.2,15.7,930.0,221.43,279.52,66.55
12.0,4.3,16.3,870.0,202.33,286.21,66.56
12.5,3.34,15.84,916.0,274.25,222.28,66.55
13.0,3.55,16.55,845.0,238.03,236.26,66.55
13.5,3.47,16.97,803.0,231.41,230.97,66.56
14.0,3.32,17.32,768.0,231.33,220.98,66.56
14.5,3.03,17.53,747.0,246.53,201.7,66.57
15.0,2.7,17.7,730.0,270.37,179.72,66.56
16.0,2.49,18.49,651.0,261.45,165.73,66.56
17.0,2.04,19.04,596.0,292.16,135.76,66.55
18.0,1.71,19.71,529.0,309.36,113.79,66.54
19.0,1.83,20.83,417.0,227.87,121.78,66.55
20.0,1.54,21.54,346.0,224.68,102.5,66.56
21.0,1.23,22.23,277.0,225.2,81.82,66.52
22.0,1.31,23.31,169.0,129.01,87.21,66.57
24.0,1.23,25.23,,,81.82,66.52
26.0,0.89,26.89,,,59.24,66.56
27.0,0.88,27.88,,,58.54,66.52
