strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.0,14.25,15.25,275.0,19.3,283.87,19.92
1.5,13.92,15.42,258.0,18.53,277.29,19.92
2.0,13.25,15.25,275.0,20.75,263.93,19.92
2.5,12.98,15.48,252.0,19.41,258.58,19.92
3.0,11.95,14.95,305.0,25.52,238.03,19.92
3.5,11.27,14.77,323.0,28.66,224.49,19.92
4.0,11.95,15.95,205.0,17.15,238.03,19.92
4.5,10.68,15.18,282.0,26.4,212.74,19.92
5.0,10.12,15.12,288.0,28.46,201.59,19.92
5.5,10.07,15.57,243.0,24.13,200.6,19.92
6.0,9.18,15.18,282.0,30.72,182.87,19.92
6.5,9.22,15.72,228.0,24.73,183.68,19.92
7.0,8.05,15.05,295.0,36.65,160.35,19.92
7.5,7.8,15.3,270.0,34.62,155.39,19.92
8.0,7.18,15.18,282.0,39.28,143.01,19.92
8.5,6.3,14.8,320.0,50.79,125.49,19.92
9.0,6.05,15.05,295.0,48.76,120.53,19.92
9.5,5.38,14.88,312.0,57.99,107.16,19.92
10.0,4.95,14.95,305.0,61.62,98.61,19.92
10.5,4.65,15.15,285.0,61.29,92.63,19.92
11.0,4.18,15.18,282.0,67.46,83.27,19.92
11.5,3.82,15.32,268.0,70.16,76.1,19.92
12.0,3.38,15.38,262.0,77.51,67.33,19.92
12.5,2.88,15.38,262.0,90.97,57.38,19.92
13.0,2.54,15.54,246.0,96.85,50.59,19.92
13.5,2.24,15.74,226.0,100.89,44.61,19.92
14.0,1.94,15.94,206.0,106.19,38.63,19.91
14.5,1.71,16.21,179.0,104.68,34.06,19.92
15.0,1.5,16.5,150.0,100.0,29.87,19.91
15.5,1.27,16.77,123.0,96.85,25.3,19.92
16.0,1.1,17.1,90.0,81.82,21.92,19.93
16.5,0.84,17.34,66.0,78.57,16.74,19.93
17.0,0.84,17.84,16.0,19.05,16.74,19.93
17.5,0.74,18.24,,,14.74,19.92
18.0,0.7,18.7,,,13.93,19.9
18.5,0.66,19.16,,,13.16,19.94
19.0,0.38,19.38,,,7.56,19.89
19.5,0.48,19.98,,,9.57,19.94
20.0,0.4,20.4,,,7.95,19.88
20.5,0.49,20.99,,,9.75,19.9
21.0,0.51,21.51,,,10.17,19.94
21.5,0.22,21.72,,,4.4,20.0
22.0,0.22,22.22,,,4.4,20.0
23.0,0.26,23.26,,,5.17,19.88
24.0,0.22,24.22,,,4.4,20.0
25.0,0.17,25.17,,,3.38,19.88
26.0,0.15,26.15,,,2.99,19.93
27.0,0.12,27.12,,,2.39,19.92
