contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SOUN250718C00002000,2024-12-06 16:08:30+00:00,2.0,12.75,12.3,14.8,1.2299995,10.677079,12,48,2.355472861328124,True,REGULAR,USD,Call
SOUN250718C00003000,2024-12-05 19:23:39+00:00,3.0,10.46,10.25,12.75,0.0,0.0,10,59,2.0566454833984373,True,REGULAR,USD,Call
SOUN250718C00004000,2024-12-06 20:12:26+00:00,4.0,10.75,10.45,12.35,1.6199999,17.7437,5,46,1.361331318359375,True,REGULAR,USD,Call
SOUN250718C00005000,2024-12-06 20:30:52+00:00,5.0,9.75,9.35,11.9,1.1999998,14.035086,13,142,1.3232455712890623,True,REGULAR,USD,Call
SOUN250718C00006000,2024-12-06 20:55:30+00:00,6.0,9.28,8.9,11.0,1.2799997,15.999996,101,740,1.3222690136718749,True,REGULAR,USD,Call
SOUN250718C00007000,2024-12-06 20:34:00+00:00,7.0,8.3,7.8,9.75,1.2000003,16.901413,41,326,1.0478563232421876,True,REGULAR,USD,Call
SOUN250718C00008000,2024-12-06 20:38:29+00:00,8.0,8.0,7.2,9.15,1.3000002,19.402988,921,1077,1.076176494140625,True,REGULAR,USD,Call
SOUN250718C00009000,2024-12-06 20:18:29+00:00,9.0,7.3,7.05,8.0,1.1500001,18.699188,163,504,1.0576218994140625,True,REGULAR,USD,Call
SOUN250718C00010000,2024-12-06 20:41:56+00:00,10.0,6.9,6.6,7.1,1.2200003,21.47888,1021,2025,1.0190478735351562,True,REGULAR,USD,Call
SOUN250718C00011000,2024-12-06 20:43:44+00:00,11.0,6.68,6.2,7.8,1.21,22.120659,81,1931,1.2138711181640622,True,REGULAR,USD,Call
SOUN250718C00012000,2024-12-06 20:32:09+00:00,12.0,6.0,5.1,7.1,1.0,20.0,1258,309,1.083988955078125,True,REGULAR,USD,Call
SOUN250718C00013000,2024-12-06 20:49:03+00:00,13.0,6.0,5.8,6.0,1.2600002,26.582285,732,1668,1.1396527392578126,True,REGULAR,USD,Call
SOUN250718P00002000,2024-11-22 19:47:44+00:00,2.0,0.06,0.0,0.75,0.0,0.0,12,10,2.0820360449218747,False,REGULAR,USD,Put
SOUN250718P00003000,2024-12-04 19:21:22+00:00,3.0,0.15,0.1,0.47,0.0,0.0,3,44,1.5136743066406249,False,REGULAR,USD,Put
SOUN250718P00004000,2024-12-04 19:14:00+00:00,4.0,0.3,0.15,0.39,0.0,0.0,10,57,1.23047259765625,False,REGULAR,USD,Put
SOUN250718P00005000,2024-12-06 20:55:42+00:00,5.0,0.44,0.27,0.53,-0.00999999,-2.2222202,19,244,1.154301103515625,False,REGULAR,USD,Put
SOUN250718P00006000,2024-12-06 19:37:47+00:00,6.0,0.77,0.64,1.08,-0.08000004,-9.411769,53,339,1.2763708056640621,False,REGULAR,USD,Put
SOUN250718P00007000,2024-12-06 18:40:22+00:00,7.0,1.1,0.96,1.33,0.05000007,4.761912,2,102,1.236331943359375,False,REGULAR,USD,Put
SOUN250718P00008000,2024-12-06 16:32:35+00:00,8.0,1.48,0.73,1.64,-0.049999952,-3.2679708,6,147,1.0849655126953124,False,REGULAR,USD,Put
SOUN250718P00009000,2024-12-06 20:18:36+00:00,9.0,1.89,1.59,2.27,-0.19999993,-9.569375,33,81,1.2070352148437498,False,REGULAR,USD,Put
SOUN250718P00010000,2024-12-06 20:43:07+00:00,10.0,2.38,2.3,3.2,-0.31999993,-11.851849,82,197,1.3105503222656247,False,REGULAR,USD,Put
SOUN250718P00011000,2024-12-06 16:12:41+00:00,11.0,3.0,2.36,3.35,-0.25,-7.6923075,11,58,1.1748088134765624,False,REGULAR,USD,Put
SOUN250718P00012000,2024-12-06 19:54:35+00:00,12.0,3.61,2.87,3.9,-0.3900001,-9.750003,49,80,1.1640666796875,False,REGULAR,USD,Put
