contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SOUN250103C00001500,2024-12-16 19:13:49+00:00,1.5,17.33,19.25,22.25,0.0,0.0,1.0,0,11.562502773437501,True,REGULAR,USD,Call
SOUN250103C00002000,2024-12-18 20:58:29+00:00,2.0,19.15,19.45,21.05,0.0,0.0,2.0,4,9.921878798828125,True,REGULAR,USD,Call
SOUN250103C00002500,2024-12-05 20:05:56+00:00,2.5,10.75,18.55,20.55,0.0,0.0,11.0,0,7.60937548828125,True,REGULAR,USD,Call
SOUN250103C00003000,2024-12-16 14:48:54+00:00,3.0,14.0,18.45,20.05,0.0,0.0,1.0,0,7.95312505859375,True,REGULAR,USD,Call
SOUN250103C00003500,2024-12-18 15:18:08+00:00,3.5,17.6,17.3,21.0,0.0,0.0,1.0,1,8.851566967773438,True,REGULAR,USD,Call
SOUN250103C00004000,2024-12-18 15:11:23+00:00,4.0,17.2,17.15,19.05,0.0,0.0,2.0,2,6.093752382812499,True,REGULAR,USD,Call
SOUN250103C00004500,2024-12-04 15:11:22+00:00,4.5,4.85,16.45,18.7,0.0,0.0,2.0,2,5.562503046874999,True,REGULAR,USD,Call
SOUN250103C00005000,2024-12-20 17:43:19+00:00,5.0,15.35,16.4,17.65,1.3400002,9.564598,11.0,110,4.984378769531249,True,REGULAR,USD,Call
SOUN250103C00005500,2024-12-06 19:34:50+00:00,5.5,9.38,15.9,17.8,0.0,0.0,1.0,19,5.7500028125,True,REGULAR,USD,Call
SOUN250103C00006000,2024-12-20 18:46:32+00:00,6.0,15.0,15.15,17.2,3.0,25.0,1.0,12,4.898441376953125,True,REGULAR,USD,Call
SOUN250103C00006500,2024-12-18 14:30:12+00:00,6.5,12.71,14.9,16.3,0.0,0.0,1.0,164,4.3828170214843745,True,REGULAR,USD,Call
SOUN250103C00007000,2024-12-20 15:19:33+00:00,7.0,12.1,14.5,16.75,-4.279999,-26.12942,1.0,203,5.414065732421873,True,REGULAR,USD,Call
SOUN250103C00007500,2024-12-19 17:43:13+00:00,7.5,10.8,13.5,15.55,0.0,0.0,1.0,127,3.67968830078125,True,REGULAR,USD,Call
SOUN250103C00008000,2024-12-20 17:09:09+00:00,8.0,11.93,13.15,15.05,-0.069999695,-0.58333075,11.0,217,3.6875007812500002,True,REGULAR,USD,Call
SOUN250103C00008500,2024-12-20 17:59:01+00:00,8.5,11.75,12.65,14.55,2.0,20.512821,1.0,434,3.488282529296875,True,REGULAR,USD,Call
SOUN250103C00009000,2024-12-20 18:59:53+00:00,9.0,11.8,12.3,14.05,2.3000002,24.21053,9.0,96,3.4765638085937502,True,REGULAR,USD,Call
SOUN250103C00009500,2024-12-20 20:41:37+00:00,9.5,12.0,11.9,12.75,3.5500002,42.011837,8.0,114,2.2343794140624995,True,REGULAR,USD,Call
SOUN250103C00010000,2024-12-20 20:51:42+00:00,10.0,11.3,11.35,12.0,2.29,25.416204,10.0,487,2.718753203125,True,REGULAR,USD,Call
SOUN250103C00010500,2024-12-20 20:42:05+00:00,10.5,11.1,9.75,13.2,2.7600002,33.09353,2.0,87,2.5039099902343747,True,REGULAR,USD,Call
SOUN250103C00011000,2024-12-20 18:55:03+00:00,11.0,10.0,10.35,11.15,2.3200002,30.208338,19.0,361,2.746096884765625,True,REGULAR,USD,Call
SOUN250103C00011500,2024-12-20 20:22:00+00:00,11.5,9.41,9.95,11.3,2.5099998,36.37681,11.0,156,2.550784873046875,True,REGULAR,USD,Call
SOUN250103C00012000,2024-12-20 20:56:36+00:00,12.0,9.9,9.4,11.1,2.7999997,39.43662,3.0,366,2.621097197265625,True,REGULAR,USD,Call
SOUN250103C00012500,2024-12-20 16:44:34+00:00,12.5,7.85,8.6,10.45,1.3399997,20.583712,2.0,83,2.0898485253906243,True,REGULAR,USD,Call
SOUN250103C00013000,2024-12-20 20:54:35+00:00,13.0,8.45,8.45,10.15,2.2999997,37.39837,10.0,661,2.410160224609375,True,REGULAR,USD,Call
SOUN250103C00013500,2024-12-20 18:04:46+00:00,13.5,7.2,8.25,9.7,1.0999999,18.032785,78.0,200,2.50000375,True,REGULAR,USD,Call
SOUN250103C00014000,2024-12-20 20:39:59+00:00,14.0,7.3,7.75,8.35,2.0500002,39.047623,35.0,928,1.7792979785156249,True,REGULAR,USD,Call
SOUN250103C00014500,2024-12-20 19:32:19+00:00,14.5,6.86,6.75,8.3,1.81,35.84158,4.0,325,1.625001875,True,REGULAR,USD,Call
SOUN250103C00015000,2024-12-20 20:53:36+00:00,15.0,6.7,6.6,8.3,1.9499998,41.052628,208.0,1369,2.0605517236328126,True,REGULAR,USD,Call
SOUN250103C00016000,2024-12-20 20:04:42+00:00,16.0,5.85,5.85,6.45,1.6199999,38.29787,78.0,558,1.4765651171875,True,REGULAR,USD,Call
SOUN250103C00017000,2024-12-20 20:56:23+00:00,17.0,5.35,5.0,6.2,1.6499999,44.59459,435.0,452,1.6992202539062502,True,REGULAR,USD,Call
SOUN250103C00018000,2024-12-20 20:59:31+00:00,18.0,4.79,4.3,4.85,1.5699999,48.757763,879.0,1100,1.4306669091796875,True,REGULAR,USD,Call
SOUN250103C00019000,2024-12-20 20:59:13+00:00,19.0,4.05,4.0,4.5,1.2500002,44.642864,957.0,1681,1.6728531982421875,True,REGULAR,USD,Call
SOUN250103C00020000,2024-12-20 20:58:55+00:00,20.0,3.49,3.1,3.55,1.05,43.032784,1462.0,2165,1.4423856005859377,True,REGULAR,USD,Call
SOUN250103C00021000,2024-12-20 20:56:36+00:00,21.0,3.0,2.79,3.55,0.8499999,39.534878,500.0,791,1.669923525390625,True,REGULAR,USD,Call
SOUN250103C00022000,2024-12-20 20:56:33+00:00,22.0,2.57,2.55,2.75,0.67999995,35.978832,727.0,1233,1.6279315478515624,False,REGULAR,USD,Call
SOUN250103C00022500,2024-12-20 20:56:45+00:00,22.5,2.5,2.21,2.89,0.73,41.24294,85.0,507,1.689454677734375,False,REGULAR,USD,Call
SOUN250103C00023000,2024-12-20 20:59:26+00:00,23.0,2.25,2.05,2.64,0.55999994,33.13609,693.0,592,1.681642216796875,False,REGULAR,USD,Call
SOUN250103C00024000,2024-12-20 20:58:23+00:00,24.0,1.92,1.33,2.0,0.38,24.675325,246.0,740,1.4814479052734375,False,REGULAR,USD,Call
SOUN250103C00025000,2024-12-20 20:58:28+00:00,25.0,1.7,1.11,1.94,0.37,27.819548,705.0,1469,1.57422087890625,False,REGULAR,USD,Call
SOUN250103C00026000,2024-12-20 20:48:57+00:00,26.0,1.3,0.71,1.89,0.32999992,34.020607,157.0,204,1.5917989160156247,False,REGULAR,USD,Call
SOUN250103C00027000,2024-12-20 20:41:43+00:00,27.0,1.21,1.16,1.3,0.18000007,17.475735,60.0,529,1.689454677734375,False,REGULAR,USD,Call
SOUN250103P00004500,2024-11-21 20:11:59+00:00,4.5,0.03,0.0,0.02,0.0,0.0,,2,3.1250021875,False,REGULAR,USD,Put
SOUN250103P00005000,2024-12-11 17:41:28+00:00,5.0,0.05,0.0,0.03,0.0,0.0,3.0,13,3.06250234375,False,REGULAR,USD,Put
SOUN250103P00005500,2024-12-04 20:40:14+00:00,5.5,0.03,0.0,0.43,0.0,0.0,2.0,33,4.437504453124999,False,REGULAR,USD,Put
SOUN250103P00006000,2024-12-18 15:12:55+00:00,6.0,0.05,0.0,0.75,0.0,0.0,10.0,569,4.757816552734374,False,REGULAR,USD,Put
SOUN250103P00006500,2024-12-18 19:29:38+00:00,6.5,0.03,0.0,0.02,0.0,0.0,12.0,154,2.43750390625,False,REGULAR,USD,Put
SOUN250103P00007000,2024-12-20 20:12:14+00:00,7.0,0.02,0.02,0.07,-0.01,-33.333336,21.0,378,2.7812530468750003,False,REGULAR,USD,Put
SOUN250103P00007500,2024-12-20 18:11:51+00:00,7.5,0.03,0.02,0.03,-0.020000001,-40.000004,24.0,246,2.4062539843749997,False,REGULAR,USD,Put
SOUN250103P00008000,2024-12-20 19:39:16+00:00,8.0,0.06,0.01,0.15,-0.010000002,-14.285716,4.0,1099,2.718753203125,False,REGULAR,USD,Put
SOUN250103P00008500,2024-12-18 16:16:18+00:00,8.5,0.03,0.03,0.25,-0.020000001,-40.000004,1.0,990,2.85156537109375,False,REGULAR,USD,Put
SOUN250103P00009000,2024-12-19 17:48:39+00:00,9.0,0.1,0.01,0.2,0.0,0.0,5.0,701,2.5468786328124997,False,REGULAR,USD,Put
SOUN250103P00009500,2024-12-19 19:15:25+00:00,9.5,0.09,0.01,0.27,0.0,0.0,6.0,186,2.5468786328124997,False,REGULAR,USD,Put
SOUN250103P00010000,2024-12-20 20:57:07+00:00,10.0,0.05,0.05,0.25,-0.029999997,-37.499996,118.0,4914,2.43750390625,False,REGULAR,USD,Put
SOUN250103P00010500,2024-12-20 16:31:49+00:00,10.5,0.08,0.05,0.07,-0.07000001,-46.66667,1.0,690,1.9375003125,False,REGULAR,USD,Put
SOUN250103P00011000,2024-12-20 20:49:30+00:00,11.0,0.06,0.06,0.08,-0.120000005,-66.66667,179.0,1230,1.875000625,False,REGULAR,USD,Put
SOUN250103P00011500,2024-12-20 20:57:57+00:00,11.5,0.19,0.07,0.42,-0.019999996,-9.523808,8.0,1645,2.2929730175781247,False,REGULAR,USD,Put
SOUN250103P00012000,2024-12-20 20:29:25+00:00,12.0,0.1,0.1,0.25,-0.15,-60.000004,38.0,2097,1.998046884765625,False,REGULAR,USD,Put
SOUN250103P00012500,2024-12-20 20:57:57+00:00,12.5,0.26,0.07,0.26,-0.100000024,-27.777782,92.0,975,1.859375703125,False,REGULAR,USD,Put
SOUN250103P00013000,2024-12-20 20:18:27+00:00,13.0,0.16,0.11,0.16,-0.31,-65.95744,127.0,732,1.671876640625,False,REGULAR,USD,Put
SOUN250103P00013500,2024-12-20 20:40:09+00:00,13.5,0.2,0.14,0.24,-0.38,-65.51724,9.0,639,1.6953140234375002,False,REGULAR,USD,Put
SOUN250103P00014000,2024-12-20 20:49:14+00:00,14.0,0.24,0.16,0.23,-0.40999997,-63.07692,284.0,901,1.5976582617187498,False,REGULAR,USD,Put
SOUN250103P00014500,2024-12-20 20:21:26+00:00,14.5,0.29,0.22,0.29,-0.54999995,-65.47619,14.0,230,1.6015644921874999,False,REGULAR,USD,Put
SOUN250103P00015000,2024-12-20 20:56:23+00:00,15.0,0.35,0.28,0.36,-0.61,-63.541668,373.0,5293,1.5937520312499998,False,REGULAR,USD,Put
SOUN250103P00016000,2024-12-20 20:57:07+00:00,16.0,0.51,0.26,0.51,-0.81000006,-61.363636,109.0,487,1.4628933105468749,False,REGULAR,USD,Put
