contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SOUN241213C00001000,2024-12-06 20:44:28+00:00,1.0,14.3,12.7,15.8,1.9499998,15.789472,1.0,0.0,17.500004531250003,True,REGULAR,USD,Call
SOUN241213C00001500,2024-11-18 19:28:31+00:00,1.5,4.68,12.55,15.3,0.0,0.0,6.0,0.0,16.968754697265627,True,REGULAR,USD,Call
SOUN241213C00002000,2024-11-08 16:13:57+00:00,2.0,5.42,11.8,14.7,0.0,0.0,2.0,0.0,12.281252324218752,True,REGULAR,USD,Call
SOUN241213C00002500,2024-12-05 18:10:06+00:00,2.5,10.45,12.15,13.8,0.0,0.0,1.0,0.0,13.125001796875,True,REGULAR,USD,Call
SOUN241213C00003000,2024-12-03 15:37:27+00:00,3.0,5.3,11.35,12.55,0.0,0.0,1.0,0.0,12.296877314453127,True,REGULAR,USD,Call
SOUN241213C00003500,2024-11-22 20:27:47+00:00,3.5,4.71,10.35,12.2,0.0,0.0,1.0,0.0,12.093752441406252,True,REGULAR,USD,Call
SOUN241213C00004000,2024-12-06 20:38:11+00:00,4.0,10.75,10.85,13.05,1.8999996,21.468922,5.0,116.0,12.390627255859375,True,REGULAR,USD,Call
SOUN241213C00004500,2024-12-06 20:57:46+00:00,4.5,10.48,9.75,11.6,6.2299995,146.58823,1.0,1.0,6.703126621093751,True,REGULAR,USD,Call
SOUN241213C00005000,2024-12-06 15:28:53+00:00,5.0,9.75,9.7,10.55,4.05,71.052635,1.0,94.0,5.70312787109375,True,REGULAR,USD,Call
SOUN241213C00005500,2024-12-06 17:57:18+00:00,5.5,8.7,9.4,10.75,0.8699999,11.11111,1.0,136.0,7.95312505859375,True,REGULAR,USD,Call
SOUN241213C00006000,2024-12-06 20:42:58+00:00,6.0,8.45,8.85,9.5,1.0499997,14.189185,12.0,183.0,5.23437845703125,True,REGULAR,USD,Call
SOUN241213C00006500,2024-12-06 20:05:46+00:00,6.5,8.1,7.8,10.65,1.0500002,14.89362,194.0,1007.0,7.394532006835938,True,REGULAR,USD,Call
SOUN241213C00007000,2024-12-06 20:55:53+00:00,7.0,7.99,7.05,9.05,1.6899996,26.82539,49.0,1311.0,3.3750015624999996,True,REGULAR,USD,Call
SOUN241213C00007500,2024-12-06 20:50:00+00:00,7.5,7.5,6.9,8.7,1.5999999,27.11864,46.0,1103.0,4.742191572265625,True,REGULAR,USD,Call
SOUN241213C00008000,2024-12-06 20:37:13+00:00,8.0,6.7,6.85,7.5,1.3499999,25.233644,356.0,1742.0,3.7734380664062503,True,REGULAR,USD,Call
SOUN241213C00008500,2024-12-06 19:41:17+00:00,8.5,6.29,5.6,7.0,1.3899999,28.367344,102.0,1255.0,4.757816552734374,True,REGULAR,USD,Call
SOUN241213C00009000,2024-12-06 20:58:40+00:00,9.0,6.0,5.95,6.15,1.5799999,35.746605,824.0,1280.0,2.3593791015624994,True,REGULAR,USD,Call
SOUN241213C00009500,2024-12-06 20:43:07+00:00,9.5,5.5,4.5,6.25,1.5,37.5,207.0,1065.0,4.726566591796875,True,REGULAR,USD,Call
SOUN241213C00010000,2024-12-06 20:54:43+00:00,10.0,5.0,4.8,5.1,1.4000001,38.888893,502.0,1662.0,2.281254296875,True,REGULAR,USD,Call
SOUN241213C00010500,2024-12-06 20:59:18+00:00,10.5,4.55,3.9,5.4,1.3500001,42.187504,345.0,1193.0,2.281254296875,True,REGULAR,USD,Call
SOUN241213C00011000,2024-12-06 20:59:39+00:00,11.0,4.15,4.1,4.25,1.2900002,45.104904,429.0,1517.0,2.1406296484375,True,REGULAR,USD,Call
SOUN241213C00011500,2024-12-06 20:59:23+00:00,11.5,3.65,3.65,4.0,1.1400001,45.41833,687.0,777.0,2.3437541406249993,True,REGULAR,USD,Call
SOUN241213C00012000,2024-12-06 20:58:40+00:00,12.0,3.25,3.2,3.55,1.0,44.444447,1305.0,1855.0,2.1992232519531245,True,REGULAR,USD,Call
SOUN241213C00012500,2024-12-06 20:59:20+00:00,12.5,2.71,2.81,2.95,0.71000004,35.5,1274.0,1076.0,1.9414065429687501,True,REGULAR,USD,Call
SOUN241213C00013000,2024-12-06 20:59:50+00:00,13.0,2.54,2.5,2.58,0.76,42.69663,2614.0,1879.0,1.9882813085937499,True,REGULAR,USD,Call
SOUN241213C00013500,2024-12-06 20:59:23+00:00,13.5,2.18,2.19,2.28,2.18,,5221.0,888.0,2.031254921875,True,REGULAR,USD,Call
SOUN241213C00014000,2024-12-06 20:59:51+00:00,14.0,1.95,1.91,1.97,0.5500001,39.28572,8263.0,2178.0,2.03906740234375,True,REGULAR,USD,Call
SOUN241213C00014500,2024-12-06 20:59:41+00:00,14.5,1.72,1.69,1.73,1.72,,5068.0,321.0,2.0976610058593748,True,REGULAR,USD,Call
SOUN241213C00015000,2024-12-06 20:59:55+00:00,15.0,1.48,1.48,1.52,1.48,,13295.0,1160.0,2.1406296484375,True,REGULAR,USD,Call
SOUN241213C00015500,2024-12-06 20:59:56+00:00,15.5,1.35,1.17,1.36,1.35,,1651.0,,2.107426606445312,False,REGULAR,USD,Call
SOUN241213C00016000,2024-12-06 20:59:45+00:00,16.0,1.17,0.99,1.2,1.17,,4298.0,819.0,2.1328171679687498,False,REGULAR,USD,Call
SOUN241213C00016500,2024-12-06 20:58:31+00:00,16.5,1.0,0.61,1.08,1.0,,1061.0,,2.00781748046875,False,REGULAR,USD,Call
SOUN241213C00017000,2024-12-06 20:59:46+00:00,17.0,0.9,0.73,0.94,0.9,,2726.0,322.0,2.2070357324218746,False,REGULAR,USD,Call
SOUN241213C00017500,2024-12-06 20:54:42+00:00,17.5,0.8,0.67,0.82,0.8,,558.0,,2.2617230957031245,False,REGULAR,USD,Call
SOUN241213C00018000,2024-12-06 20:56:59+00:00,18.0,0.71,0.7,0.71,0.71,,1109.0,208.0,2.3789103027343748,False,REGULAR,USD,Call
SOUN241213C00018500,2024-12-06 20:59:49+00:00,18.5,0.54,0.54,0.77,0.54,,102.0,,2.464847587890625,False,REGULAR,USD,Call
SOUN241213C00019000,2024-12-06 20:59:37+00:00,19.0,0.57,0.17,0.59,0.57,,2868.0,237.0,2.1171922070312497,False,REGULAR,USD,Call
SOUN241213C00019500,2024-12-06 20:49:47+00:00,19.5,0.51,0.44,0.52,0.51,,42.0,,2.4531288671875,False,REGULAR,USD,Call
SOUN241213C00020000,2024-12-06 20:59:44+00:00,20.0,0.47,0.33,0.47,0.47,,5796.0,3717.0,2.42969142578125,False,REGULAR,USD,Call
SOUN241213C00020500,2024-12-06 20:57:40+00:00,20.5,0.46,0.38,0.6,0.46,,164.0,,2.7382844042968753,False,REGULAR,USD,Call
SOUN241213C00021000,2024-12-06 20:59:13+00:00,21.0,0.38,0.23,0.79,0.38,,163.0,,2.906252734375,False,REGULAR,USD,Call
SOUN241213C00021500,2024-12-06 20:36:16+00:00,21.5,0.33,0.07,0.36,0.33,,6.0,,2.3359416601562493,False,REGULAR,USD,Call
SOUN241213C00022000,2024-12-06 20:58:25+00:00,22.0,0.34,0.1,0.34,0.34,,40.0,,2.4531288671875,False,REGULAR,USD,Call
SOUN241213C00023000,2024-12-06 20:52:35+00:00,23.0,0.25,0.23,0.28,0.25,,220.0,,2.750003125,False,REGULAR,USD,Call
SOUN241213C00024000,2024-12-06 20:50:16+00:00,24.0,0.22,0.2,0.24,0.22,,91.0,,2.8281279296874997,False,REGULAR,USD,Call
SOUN241213C00025000,2024-12-06 20:58:23+00:00,25.0,0.17,0.14,0.2,0.17,,75.0,,2.8281279296874997,False,REGULAR,USD,Call
SOUN241213C00026000,2024-12-06 20:46:06+00:00,26.0,0.12,0.13,0.16,0.12,,9.0,,2.8906277734375,False,REGULAR,USD,Call
SOUN241213C00027000,2024-12-06 20:59:37+00:00,27.0,0.13,0.11,0.13,0.13,,2135.0,,2.9218776953125003,False,REGULAR,USD,Call
SOUN241213P00001000,2024-12-06 16:47:24+00:00,1.0,0.01,0.0,0.01,0.0,0.0,6.0,2.0,9.000004375,False,REGULAR,USD,Put
SOUN241213P00003500,2024-11-25 16:00:11+00:00,3.5,0.02,0.0,0.22,0.0,0.0,,2.0,7.37500078125,False,REGULAR,USD,Put
SOUN241213P00004500,2024-12-06 14:53:16+00:00,4.5,0.01,0.0,0.02,0.0,0.0,3.0,276.0,4.2500046875,False,REGULAR,USD,Put
SOUN241213P00005000,2024-12-06 15:13:09+00:00,5.0,0.01,0.0,0.02,0.0,0.0,41.0,303.0,3.8750003125,False,REGULAR,USD,Put
SOUN241213P00005500,2024-12-06 16:25:32+00:00,5.5,0.01,0.0,0.01,0.0,0.0,43.0,1464.0,3.2500018749999997,False,REGULAR,USD,Put
SOUN241213P00006000,2024-12-06 18:46:51+00:00,6.0,0.01,0.0,0.01,0.0,0.0,24.0,1263.0,3.0000025,False,REGULAR,USD,Put
SOUN241213P00006500,2024-12-06 20:46:06+00:00,6.5,0.01,0.0,0.01,-0.02,-66.66667,81.0,2237.0,2.750003125,False,REGULAR,USD,Put
SOUN241213P00007000,2024-12-06 20:45:32+00:00,7.0,0.02,0.01,0.02,-0.01,-33.333336,555.0,1894.0,2.906252734375,False,REGULAR,USD,Put
SOUN241213P00007500,2024-12-06 20:35:03+00:00,7.5,0.02,0.01,0.02,-0.05,-71.42857,542.0,2428.0,2.68750328125,False,REGULAR,USD,Put
SOUN241213P00008000,2024-12-06 20:49:21+00:00,8.0,0.03,0.03,0.1,-0.04,-57.142853,203.0,2063.0,3.0937522656249996,False,REGULAR,USD,Put
SOUN241213P00008500,2024-12-06 20:45:51+00:00,8.5,0.04,0.04,0.05,-0.07,-63.636364,747.0,1447.0,2.6406283984375003,False,REGULAR,USD,Put
SOUN241213P00009000,2024-12-06 20:57:48+00:00,9.0,0.05,0.05,0.06,-0.10000001,-66.66667,636.0,1197.0,2.50000375,False,REGULAR,USD,Put
SOUN241213P00009500,2024-12-06 20:58:14+00:00,9.5,0.09,0.06,0.08,-0.11999999,-57.142853,299.0,2824.0,2.3906290234374996,False,REGULAR,USD,Put
SOUN241213P00010000,2024-12-06 20:59:08+00:00,10.0,0.1,0.08,0.09,-0.20000002,-66.66667,3157.0,2152.0,2.2500043749999996,False,REGULAR,USD,Put
SOUN241213P00010500,2024-12-06 20:59:27+00:00,10.5,0.12,0.11,0.21,-0.29999998,-71.428566,3778.0,907.0,2.3671915820312495,False,REGULAR,USD,Put
SOUN241213P00011000,2024-12-06 20:59:48+00:00,11.0,0.17,0.16,0.17,-0.39,-69.64285,3711.0,2048.0,2.1406296484375,False,REGULAR,USD,Put
SOUN241213P00011500,2024-12-06 20:59:19+00:00,11.5,0.23,0.1,0.32,0.23,,1513.0,1037.0,2.0468798828125,False,REGULAR,USD,Put
SOUN241213P00012000,2024-12-06 20:59:41+00:00,12.0,0.33,0.32,0.33,-0.65999997,-66.666664,5067.0,2560.0,2.1015672460937496,False,REGULAR,USD,Put
SOUN241213P00012500,2024-12-06 20:59:32+00:00,12.5,0.44,0.4,0.45,0.44,,14512.0,8323.0,2.0625048437499998,False,REGULAR,USD,Put
SOUN241213P00013000,2024-12-06 20:59:49+00:00,13.0,0.57,0.51,0.59,0.57,,4534.0,1703.0,2.02344244140625,False,REGULAR,USD,Put
SOUN241213P00013500,2024-12-06 20:59:39+00:00,13.5,0.77,0.75,0.8,0.77,,1949.0,557.0,2.113285966796875,False,REGULAR,USD,Put
SOUN241213P00014000,2024-12-06 20:59:46+00:00,14.0,0.96,0.88,1.05,-1.1800001,-55.140186,3311.0,201.0,2.0937547656249995,False,REGULAR,USD,Put
