contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SOUN250117C00000500,2024-12-16 15:05:33+00:00,0.5,16.58,20.95,22.05,0.0,0.0,10,43,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00001000,2024-12-18 14:32:23+00:00,1.0,19.15,21.1,21.45,3.5,22.364218,6,117,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00001500,2024-12-13 14:36:49+00:00,1.5,12.95,20.2,21.0,0.0,0.0,1,45,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00002000,2024-12-18 14:32:23+00:00,2.0,18.0,19.85,20.55,1.75,10.769231,11,603,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00002500,2024-12-16 16:10:36+00:00,2.5,15.1,19.3,20.55,0.0,0.0,1,442,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00003000,2024-12-18 16:15:42+00:00,3.0,19.3,19.2,19.75,2.5499992,15.223876,10,1353,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00003500,2024-12-18 14:57:56+00:00,3.5,17.5,18.6,19.2,2.8999996,19.86301,4,1012,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00004000,2024-12-18 15:42:22+00:00,4.0,17.49,18.2,18.65,3.2799997,23.082335,2,4251,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00004500,2024-12-18 16:03:23+00:00,4.5,17.83,17.2,18.3,2.9700003,19.986544,2,5779,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00005000,2024-12-18 16:08:15+00:00,5.0,17.3,16.95,17.65,4.499999,35.156242,30,13437,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00005500,2024-12-18 14:48:56+00:00,5.5,15.1,16.55,17.15,1.2600002,9.104048,4,4887,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00006000,2024-12-17 17:10:19+00:00,6.0,12.5,16.0,16.5,0.0,0.0,5,1875,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00007000,2024-12-18 16:17:04+00:00,7.0,15.5,14.95,15.4,3.2200003,26.221502,301,14091,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00008000,2024-12-18 16:13:38+00:00,8.0,14.4,13.7,14.55,3.1499996,27.999998,192,6119,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00009000,2024-12-18 16:06:18+00:00,9.0,13.2,13.25,13.6,2.7399998,26.195026,3,3746,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00010000,2024-12-18 16:17:04+00:00,10.0,12.6,12.25,12.6,3.1500006,33.33334,331,23955,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00011000,2024-12-18 15:53:27+00:00,11.0,10.75,11.3,11.7,2.2600002,26.619556,10,2351,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00012000,2024-12-18 16:17:04+00:00,12.0,10.75,10.65,10.8,3.0500002,39.869286,228,8028,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00013000,2024-12-18 16:13:52+00:00,13.0,9.76,9.5,9.95,2.8400002,41.040462,42,1983,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00014000,2024-12-18 16:03:29+00:00,14.0,8.75,8.65,9.05,2.5500002,41.129036,132,1488,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00015000,2024-12-18 16:17:28+00:00,15.0,8.15,7.9,8.1,2.6499996,48.181812,1287,7626,1.0000000000000003e-05,True,REGULAR,USD,Call
SOUN250117C00016000,2024-12-18 16:15:30+00:00,16.0,7.45,7.4,7.6,2.5,50.50505,377,3255,0.9765627343750001,True,REGULAR,USD,Call
SOUN250117C00017000,2024-12-18 16:16:24+00:00,17.0,6.83,6.45,6.6,2.4,54.17608,308,4591,0.8730481445312499,True,REGULAR,USD,Call
SOUN250117C00018000,2024-12-18 16:13:49+00:00,18.0,6.2,6.2,6.3,2.2499998,56.962017,1179,2122,1.2177773486328123,True,REGULAR,USD,Call
SOUN250117C00019000,2024-12-18 16:15:39+00:00,19.0,5.69,5.5,5.8,2.1000001,58.495827,546,1339,1.2568396533203123,True,REGULAR,USD,Call
SOUN250117C00020000,2024-12-18 16:17:56+00:00,20.0,5.17,5.05,5.15,1.95,60.559006,6330,12676,1.2861363818359375,True,REGULAR,USD,Call
SOUN250117C00021000,2024-12-18 16:15:30+00:00,21.0,4.85,4.65,4.75,1.8999999,64.40678,648,1221,1.3515657421874998,True,REGULAR,USD,Call
SOUN250117C00022000,2024-12-18 16:18:54+00:00,22.0,4.25,4.25,4.4,1.55,53.44828,637,661,1.4013701806640624,True,REGULAR,USD,Call
SOUN250117C00023000,2024-12-18 16:18:51+00:00,23.0,3.95,3.95,4.05,1.48,59.91903,503,376,1.4492215039062502,True,REGULAR,USD,Call
SOUN250117C00024000,2024-12-18 16:17:37+00:00,24.0,3.9,3.6,3.75,1.72,78.89908,429,710,1.4799830688476563,False,REGULAR,USD,Call
SOUN250117C00025000,2024-12-18 16:18:06+00:00,25.0,3.52,3.5,3.65,1.4000001,64.81483,758,1766,1.5791036669921872,False,REGULAR,USD,Call
SOUN250117C00026000,2024-12-18 16:17:03+00:00,26.0,3.35,3.1,3.2,1.5199999,83.0601,99,560,1.5459007080078124,False,REGULAR,USD,Call
SOUN250117C00027000,2024-12-18 16:15:18+00:00,27.0,3.1,3.0,3.15,1.3299999,75.14124,295,896,1.6303729418945312,False,REGULAR,USD,Call
SOUN250117P00000500,2024-01-23 17:48:10+00:00,0.5,0.01,0.0,0.1,0.0,0.0,1,0,6.87500140625,False,REGULAR,USD,Put
SOUN250117P00001000,2024-12-18 16:11:51+00:00,1.0,0.01,0.0,0.01,0.0,0.0,20,1404,3.93750015625,False,REGULAR,USD,Put
SOUN250117P00001500,2024-11-26 15:52:44+00:00,1.5,0.05,0.0,0.02,0.0,0.0,20,630,3.6875007812500002,False,REGULAR,USD,Put
SOUN250117P00002000,2024-12-13 20:30:20+00:00,2.0,0.01,0.0,0.02,0.0,0.0,16,2533,3.3125017187499997,False,REGULAR,USD,Put
SOUN250117P00002500,2024-12-18 15:22:01+00:00,2.5,0.01,0.01,0.02,0.0,0.0,1,2332,3.1250021875,False,REGULAR,USD,Put
