strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.5,19.2,20.7,830.0,43.23,1015.15,52.87
2.0,19.48,21.48,752.0,38.6,1029.99,52.87
4.0,17.67,21.67,733.0,41.48,934.3,52.87
4.5,17.15,21.65,735.0,42.86,906.82,52.88
5.0,16.18,21.18,782.0,48.33,855.47,52.87
5.5,15.3,20.8,820.0,53.59,808.93,52.87
6.0,15.68,21.68,732.0,46.68,829.09,52.88
6.5,14.98,21.48,752.0,50.2,792.08,52.88
7.0,14.4,21.4,760.0,52.78,761.38,52.87
7.5,13.9,21.4,760.0,54.68,734.91,52.87
8.0,13.18,21.18,782.0,59.33,696.89,52.87
8.5,11.82,20.32,868.0,73.43,624.98,52.87
9.0,12.18,21.18,782.0,64.2,644.03,52.88
9.5,11.92,21.42,758.0,63.59,630.29,52.88
10.0,11.18,21.18,782.0,69.95,591.17,52.88
10.5,11.12,21.62,738.0,66.37,587.96,52.87
11.0,10.62,21.62,738.0,69.49,561.48,52.87
11.5,9.98,21.48,752.0,75.35,527.68,52.87
12.0,9.8,21.8,720.0,73.47,518.15,52.87
12.5,9.12,21.62,738.0,80.92,482.25,52.88
13.0,8.78,21.78,722.0,82.23,464.19,52.87
13.5,7.95,21.45,755.0,94.97,420.36,52.88
14.0,8.1,22.1,690.0,85.19,428.29,52.88
14.5,7.9,22.4,660.0,83.54,417.65,52.87
15.0,7.38,22.38,662.0,89.7,390.17,52.87
16.0,6.18,22.18,682.0,110.36,326.78,52.88
17.0,6.1,23.1,590.0,96.72,322.57,52.88
18.0,5.42,23.42,558.0,102.95,286.56,52.87
19.0,5.05,24.05,495.0,98.02,267.0,52.87
20.0,4.25,24.25,475.0,111.76,224.67,52.86
21.0,4.4,25.4,360.0,81.82,232.6,52.86
22.0,4.2,26.2,280.0,66.67,222.07,52.87
22.5,3.78,26.28,272.0,71.96,199.9,52.88
23.0,3.78,26.78,222.0,58.73,199.9,52.88
24.0,3.35,27.35,165.0,49.25,177.13,52.87
25.0,3.3,28.3,70.0,21.21,174.52,52.88
26.0,2.76,28.76,24.0,8.7,145.94,52.88
27.0,2.84,29.84,,,150.15,52.87
