strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.0,14.25,15.25,475.0,33.33,473.75,33.25
1.5,13.92,15.42,458.0,32.9,462.77,33.24
2.0,13.25,15.25,475.0,35.85,440.47,33.24
2.5,12.98,15.48,452.0,34.82,431.54,33.25
3.0,11.95,14.95,505.0,42.26,397.25,33.24
3.5,11.27,14.77,523.0,46.41,374.65,33.24
4.0,11.95,15.95,405.0,33.89,397.25,33.24
4.5,10.68,15.18,482.0,45.13,355.04,33.24
5.0,10.12,15.12,488.0,48.22,336.43,33.24
5.5,10.07,15.57,443.0,43.99,334.78,33.25
6.0,9.18,15.18,482.0,52.51,305.19,33.25
6.5,9.22,15.72,428.0,46.42,306.54,33.25
7.0,8.05,15.05,495.0,61.49,267.61,33.24
7.5,7.8,15.3,470.0,60.26,259.33,33.25
8.0,7.18,15.18,482.0,67.13,238.67,33.24
8.5,6.3,14.8,520.0,82.54,209.43,33.24
9.0,6.05,15.05,495.0,81.82,201.15,33.25
9.5,5.38,14.88,512.0,95.17,178.84,33.24
10.0,4.95,14.95,505.0,102.02,164.57,33.25
10.5,4.65,15.15,485.0,104.3,154.59,33.25
11.0,4.18,15.18,482.0,115.31,138.97,33.25
11.5,3.82,15.32,468.0,122.51,127.0,33.25
12.0,3.38,15.38,462.0,136.69,112.37,33.25
12.5,2.88,15.38,462.0,160.42,95.76,33.25
13.0,2.54,15.54,446.0,175.59,84.43,33.24
13.5,2.24,15.74,426.0,190.18,74.45,33.24
14.0,1.94,15.94,406.0,209.28,64.47,33.23
14.5,1.71,16.21,379.0,221.64,56.84,33.24
15.0,1.5,16.5,350.0,233.33,49.85,33.23
15.5,1.27,16.77,323.0,254.33,42.22,33.24
16.0,1.1,17.1,290.0,263.64,36.58,33.25
16.5,0.84,17.34,266.0,316.67,27.94,33.26
17.0,0.84,17.84,216.0,257.14,27.94,33.26
17.5,0.74,18.24,176.0,237.84,24.6,33.24
18.0,0.7,18.7,130.0,185.71,23.25,33.21
18.5,0.66,19.16,84.0,127.27,21.96,33.27
19.0,0.38,19.38,62.0,163.16,12.62,33.21
19.5,0.48,19.98,2.0,4.17,15.97,33.27
20.0,0.4,20.4,,,13.27,33.17
20.5,0.49,20.99,,,16.27,33.2
21.0,0.51,21.51,,,16.97,33.27
21.5,0.22,21.72,,,7.34,33.36
22.0,0.22,22.22,,,7.34,33.36
23.0,0.26,23.26,,,8.63,33.19
24.0,0.22,24.22,,,7.34,33.36
25.0,0.17,25.17,,,5.64,33.18
26.0,0.15,26.15,,,4.99,33.27
27.0,0.12,27.12,,,3.99,33.25
