strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.0,14.25,15.25,675.0,47.37,663.63,46.57
1.5,13.92,15.42,658.0,47.27,648.25,46.57
2.0,13.25,15.25,675.0,50.94,617.01,46.57
2.5,12.98,15.48,652.0,50.23,604.5,46.57
3.0,11.95,14.95,705.0,59.0,556.47,46.57
3.5,11.27,14.77,723.0,64.15,524.81,46.57
4.0,11.95,15.95,605.0,50.63,556.47,46.57
4.5,10.68,15.18,682.0,63.86,497.34,46.57
5.0,10.12,15.12,688.0,67.98,471.27,46.57
5.5,10.07,15.57,643.0,63.85,468.96,46.57
6.0,9.18,15.18,682.0,74.29,427.51,46.57
6.5,9.22,15.72,628.0,68.11,429.4,46.57
7.0,8.05,15.05,695.0,86.34,374.87,46.57
7.5,7.8,15.3,670.0,85.9,363.27,46.57
8.0,7.18,15.18,682.0,94.99,334.33,46.56
8.5,6.3,14.8,720.0,114.29,293.37,46.57
9.0,6.05,15.05,695.0,114.88,281.77,46.57
9.5,5.38,14.88,712.0,132.34,250.52,46.57
10.0,4.95,14.95,705.0,142.42,230.53,46.57
10.5,4.65,15.15,685.0,147.31,216.55,46.57
11.0,4.18,15.18,682.0,163.16,194.67,46.57
11.5,3.82,15.32,668.0,174.87,177.9,46.57
12.0,3.38,15.38,662.0,195.86,157.41,46.57
12.5,2.88,15.38,662.0,229.86,134.14,46.58
13.0,2.54,15.54,646.0,254.33,118.27,46.56
13.5,2.24,15.74,626.0,279.46,104.29,46.56
14.0,1.94,15.94,606.0,312.37,90.31,46.55
14.5,1.71,16.21,579.0,338.6,79.62,46.56
15.0,1.5,16.5,550.0,366.67,69.83,46.55
15.5,1.27,16.77,523.0,411.81,59.14,46.57
16.0,1.1,17.1,490.0,445.45,51.24,46.58
16.5,0.84,17.34,466.0,554.76,39.14,46.6
17.0,0.84,17.84,416.0,495.24,39.14,46.6
17.5,0.74,18.24,376.0,508.11,34.46,46.57
18.0,0.7,18.7,330.0,471.43,32.57,46.53
18.5,0.66,19.16,284.0,430.3,30.76,46.61
19.0,0.38,19.38,262.0,689.47,17.68,46.53
19.5,0.48,19.98,202.0,420.83,22.37,46.6
20.0,0.4,20.4,160.0,400.0,18.59,46.48
20.5,0.49,20.99,101.0,206.12,22.79,46.51
21.0,0.51,21.51,49.0,96.08,23.77,46.61
21.5,0.22,21.72,28.0,127.27,10.28,46.73
22.0,0.22,22.22,,,10.28,46.73
23.0,0.26,23.26,,,12.09,46.5
24.0,0.22,24.22,,,10.28,46.73
25.0,0.17,25.17,,,7.9,46.47
26.0,0.15,26.15,,,6.99,46.6
27.0,0.12,27.12,,,5.59,46.58
